Provinsi,Pengangguran_2024
ACEH,147899
SUMATERA UTARA,406092
SUMATERA BARAT,118504
RIAU,152740
JAMBI,82510
SUMATERA SELATAN,139399
BENGKULU,36617
LAMPUNG,209497
KEP. BANGKA BELITUNG,40199
KEP. RIAU,78396
DKI JAKARTA,330102
JAWA BARAT,1692044
JAWA TENGAH,822086
DI YOGYAKARTA,72236
JAWA TIMUR,818814
BANTEN,470890
BALI,49355
NUSA TENGGARA BARAT,98240
NUSA TENGGARA TIMUR,86782
KALIMANTAN BARAT,118460
KALIMANTAN TENGAH,54984
KALIMANTAN SELATAN,87376
KALIMANTAN TIMUR,104374
KALIMANTAN UTARA,15929
SULAWESI UTARA,79049
SULAWESI TENGAH,46118
SULAWESI SELATAN,243562
SULAWESI TENGGARA,40530
GORONTALO,19512
SULAWESI BARAT,20962
MALUKU,59042
MALUKU UTARA,26724
PAPUA BARAT,21395
PAPUA BARAT DAYA,29856
PAPUA,54399
PAPUA SELATAN,38914
PAPUA TENGAH,25201
PAPUA PEGUNUNGAN,554
